%Class,%Class,代码，显示NPC的职业名字。
%Name,%Name,《上古卷轴3：晨风》中的代码，通用对话中显示说话的NPC名字。
Llavam Adas,拉瓦姆·阿达斯,NPC_.FNAM
Llavane,拉瓦妮,NPC_.FNAM
Llavane Hlas,拉瓦妮·赫拉斯,NPC_.FNAM
Llavelea,拉维莉亚,NPC_.FNAM
Llavelea Nelvani,拉维莉亚·内尔瓦尼,NPC_.FNAM
Llavesa,拉维萨,NPC_.FNAM
Llavesa Drom,拉维萨·德罗姆,NPC_.FNAM
Llaynasa,蕾娜莎,NPC_.FNAM
Llaynasa Othran,蕾娜莎·奥瑟兰,NPC_.FNAM
Lledsa,莱萨,NPC_.FNAM
Lledsa Vari,莱萨·瓦里,NPC_.FNAM
Lledsea,莱德西,CEL|NPC_.FNAM
Lledsea Relas,莱德西·瑞拉斯,NPC_.FNAM
Lledsea Relas's Shack,莱德西·瑞拉斯的小屋,CEL
Llemisa,莱米莎,NPC_.FNAM
Llemisa Marys,莱米莎·马里斯,NPC_.FNAM
Llendo,伦多,NPC_.FNAM
Llendu,伦杜,NPC_.FNAM
Llenim,列尼姆,CEL|NPC_.FNAM
Lleran,勒然,NPC_.FNAM
Lleran Ancestral Tomb,勒然先祖墓穴,CEL
Lleran Andoril,勒然·安多里尔,NPC_.FNAM
Llerar,雷拉,CEL|NPC_.FNAM
Llerar Mandas,雷拉·曼达斯,NPC_.FNAM
Llerar Vinden,雷拉·文登,NPC_.FNAM
Llerar Vinden's Shack,雷拉·文登的小屋,CEL
Lleras,莱拉斯,NPC_.FNAM
Lleras Andalen,莱拉斯·安达伦,NPC_.FNAM
Llerayn,勒雷恩,NPC_.FNAM
Lleris,莱里斯,NPC_.FNAM
Lleris Rathryon,莱里斯·拉特里恩,NPC_.FNAM
Llero,雷洛,NPC_.FNAM
Llero Lloran,雷洛·洛兰,NPC_.FNAM
Llerusa,雷鲁萨,NPC_.FNAM
Llerusa Hlaalu,雷鲁萨·哈拉鲁,NPC_.FNAM
Llervi,勒维,NPC_.FNAM
Llervu,列乌,CEL|NPC_.FNAM
Llervu Ancestral Tomb,列乌先祖墓穴,CEL
Lleryn,勒林,NPC_.FNAM
Llethan,莱森,NPC_.FNAM
Llethan Manor,莱森府邸,CEL
Llether,雷瑟尔,MISC.FNAM|NPC_.FNAM
Llether Vari,雷瑟尔·瓦里,NPC_.FNAM
Llether Vari's Key,雷瑟尔·瓦里的钥匙,MISC.FNAM
Llether Vari: Enchanter,雷瑟尔·瓦里：附魔师,CEL
Llethri,莱特里,MISC.FNAM|NPC_.FNAM
Llethri Guard Quarters,莱特里守卫住所,CEL
Llethri Manor Bedrooms,莱特里府邸卧室,CEL
Llethri Manor Entrance,莱特里府邸入口,CEL
Llethri Manor Key,莱特里府邸钥匙,MISC.FNAM
Llethri Private Quarters,莱特里私人住所,CEL
Llevana,莱瓦娜,NPC_.FNAM
Llevana Salaren,莱瓦娜·萨拉伦,NPC_.FNAM
Llevas,雷瓦斯,NPC_.FNAM
Llevas Fels,雷瓦斯·费尔斯,NPC_.FNAM
Llevel,雷维尔,NPC_.FNAM
Llevel Seri,雷维尔·塞里,NPC_.FNAM
Llevena,莱维娜,NPC_.FNAM
Llevena Sendas,莱维娜·森达斯,NPC_.FNAM
Llirala,莉拉拉,CEL|NPC_.FNAM
Llirala Sendas,莉拉拉·森达斯,NPC_.FNAM
Llirala's Shack,莉拉拉的小屋,CEL
Lliram,利拉姆,NPC_.FNAM
Lliram Alvor,利拉姆·阿尔沃,NPC_.FNAM
Lliros,利罗斯,NPC_.FNAM
Lliros Tures,利罗斯·图雷斯,NPC_.FNAM
Lliryn,莉琳,NPC_.FNAM
Lliryn Fendyn,莉琳·芬丁,NPC_.FNAM
Llivam,利维姆,SPEL.FNAM
Llivam's Reversal,利维姆之逆转,SPEL.FNAM
Llivas,利瓦斯,NPC_.FNAM
Llivas Othravel,利瓦斯·奥斯拉维尔,NPC_.FNAM
Lloden,洛登,NPC_.FNAM
Lloden Tenim,洛登·特尼姆,NPC_.FNAM
Llonas,洛纳斯,NPC_.FNAM
Llonas Felder,洛纳斯·费尔德,NPC_.FNAM
Llondresa,洛德蕾莎,NPC_.FNAM
Llondresa Reloth,洛德蕾莎·雷洛斯,NPC_.FNAM
Llondryn,洛德林,NPC_.FNAM
Llondryn Hlaalo,洛德林·赫拉罗,NPC_.FNAM
Lloramor Spines,仙人掌刺,INGR.FNAM
Lloran,洛兰,NPC_.FNAM
Llorayna,洛瑞娜,MISC.FNAM|NPC_.FNAM
Llorayna Sethan,洛瑞娜·瑟珊,NPC_.FNAM
Llorayna Sethan's Key,洛瑞娜·瑟珊的钥匙,MISC.FNAM
Lloros,洛罗斯,NPC_.FNAM
Lloros Sarano,洛罗斯·萨拉诺,NPC_.FNAM
Lloryn,洛林,CEL|NPC_.FNAM
Llothas,洛萨斯,CEL|NPC_.FNAM
Llothis,洛提斯,圣洛提斯，他是裁缝师跟染房工的守护者。他从最初即追随裁决者，也是裁决者神殿中最受景仰的导师典范，并创立了新神殿信仰的核心仪式跟信条。圣洛提斯象征着连结神祉和信众的凡人桥梁，同时也是日后祭司的模范。
Llothri,洛思里,NPC_.FNAM
Llovyn,洛夫林,CEL|NPC_.FNAM
Llovyn Andus,洛夫林·安杜斯,NPC_.FNAM
Llovyn's Farmhouse,洛夫林的农舍,CEL
Llswer,拉斯维尔,卡吉特的“天堂”。
Llunela,卢妮拉,NPC_.FNAM
Llunela Hleran,卢妮拉·勒兰,NPC_.FNAM
Lobbyists for the Coincidence Guild,巧合游说者公会,
Locations of the Stones,圣石的位置,BOOK.FNAM
Lock,锁定|锁定术,GMST.STRV|SPEL.FNAM
Lock Level,上锁等级,GMST.STRV
Locket,盒坠,CLOT.FNAM
Log,日志,BOOK.FNAM
Londa-Vera,隆妲-薇拉,九曜之一，绿曜。与土和阴性力量有关。
Lonely Shipwreck,孤独沉船,CEL
Lonesome Shipwreck,孤寂沉船,CEL
Long Blade,长刃,GMST.STRV
Long Bow,长弓,WEAP.FNAM
Long Night,长夜,阿莱西亚帝国灭亡到雷曼降生前的空位期。
Long-Leg,长腿,NPC_.FNAM
Long-Tooth,长牙,NPC_.FNAM
Loose Grate,松动的炉栅,DOOR.FNAM
Lorbumol,洛布莫,NPC_.FNAM
Lorbumol gro-Aglakh,洛布莫·格罗-阿格拉克,NPC_.FNAM
Lorchel,洛彻尔,NPC_.FNAM
Lord,领主,FACT.RNAM
Lord Cluttermonkey,杂物猴领主,NPC_.FNAM
Lord Dagoth,达格斯大人,
Lord Dagoth Ur,达格斯·乌尔大人,
Lord Drad's Estate,德拉德领主的庄园,
Lord Dregas Volar,德雷加斯·沃拉尔领主,CREA.FNAM
Lord Jornibret,乔尼布莱特王,BOOK.FNAM
Lord Jornibret's Last Dance,《乔尼布莱特王的最后一舞》,BOOK.FNAM
Lord of Ash and Bone,灰烬与骸骨之主,*详见Malacath词条。
Lord of Change,变革之主,*详见Mehrunes Dagon词条。
Lord of Fate and Knowledge,命运与知识之主,*详见Hermaeus Mora词条。
Lord of Fire and Flood,火与洪之主,*详见Mehrunes Dagon词条。
Lord of Monsters,怪物之主,*详见Malacath词条。
Lord of Secrets,秘密之主,*详见Hermaeus Mora词条。
Lord of the Hunt,狩猎之主,*详见Hircine词条。
Lord Rugdumph gro-Shurgak,鲁格登夫·格罗-舒尔加克领主,
Lord Rugdumph's Estate,鲁格登夫领主的庄园,
Lord Vlindrel's Tower,弗林德瑞尔勋爵之塔,
Lord's Mail,君王链甲,ARMO.FNAM
Lords and Ladies of Oblivion,湮灭之主,*详见Daedric Princes词条。
Loredas,星期六,上古卷轴世界观中的周六。
Loria,洛里亚,1.亚历德语，意为“黑暗”。2.一个区域，位于阿塔塔尔遗迹内。
Lorkh,洛克,*详见Shezarr词条。部分北尼德民族独有的舍扎尔信仰。
Lorkhaj,洛卡吉,*详见Shezarr词条。卡吉特神话中的舍扎尔形象。
Lorkhan,洛克汗,*详见Shezarr词条。艾诺菲语中意为“暗王”，奥德莫语中意为“末日之鼓”。精灵对缺位神舍扎尔的称呼，尽管立体的缺位神与以洛克汗为神名者的表现并不完全相同。丹莫敬畏洛克汗，但大多数傲特莫都将洛克汗视为邪神，这出于不同种族对创世的不同理解。
Lorod,罗罗德,NPC_.FNAM
Lorsel,洛塞尔,亚历德语，意为“暗厅”。位于利普桑德·塔恩遗迹和瓦塔肯遗迹内，注意与洛里亚塞尔Loriasel“黑暗厅”做区分。
Lorurmend,罗鲁门德,NPC_.FNAM
Lorzub,洛祖布,NPC_.FNAM
Lorzub gro-Bogla,洛祖布·格罗-博格拉,NPC_.FNAM
Lost Boy Cavern,迷失少年洞穴,或“迷失男孩洞穴”，个人认为可能是致敬彼得·潘Lost Boys，故采用此通用翻译。当然也可能是纯粹指关底boss走上了弯路。
Lost Dwemer Checkpoint,失落锻莫检查哨,CEL
Lost Shipwreck,失落沉船,CEL
Loth'Na Caverns,洛斯'纳洞穴,地名。
Louis,路易斯,NPC_.FNAM
Louis Beauchamp,路易斯·波尚,NPC_.FNAM
Love Potion,爱情药水,ALCH.FNAM
Lover,恋人,SPEL.FNAM
Lover's Kiss,恋人之吻,SPEL.FNAM
Low Quality Chest,劣质的箱子,CONT.FNAM
Lower,下部,CEL
Lower Eggmine,卵矿场下层,CEL
Lower Facility,下层设施,CEL
Lower Kogoruhn Key,科戈汝因下层钥匙,MISC.FNAM
Lower Level,下层,CEL
Lower Levels,下层区域,CEL
Lower Niben,下尼本,
Lower Tower,塔楼下层,CEL
Lucan,卢坎,NPC_.FNAM
Lucan Ostorius,卢坎·奥斯托瑞斯,NPC_.FNAM
Lucan Scriptholder,卢坎脚本持有者,ACTI.FNAM
Luck,幸运,GMST.STRV
Luck of the Emperor,帝王神运术,SPEL.FNAM
Lucky Again,再度幸运,SPEL.FNAM
Lucky Break,强运之杖,WEAP.FNAM
Lucky Coin,幸运金币,MISC.FNAM
Lucky Lockup,幸运之锁,CEL|ACTI.FNAM
Lucretinaus,卢克雷蒂诺斯,NPC_.FNAM
Lucretinaus Olcinius,卢克雷蒂诺斯·奥基尼乌斯,NPC_.FNAM
Lucretinaus Olcinius: Trader,卢克雷蒂纳斯·奥西尼乌斯：贸易商,CEL
Lugdum,鲁格杜穆,NPC_.FNAM
Lugdum gro-Lagdub,鲁格杜穆·格罗-拉格杜布,NPC_.FNAM
Lugrub,拉格路布,NPC_.FNAM|WEAP.FNAM
Lugrub gro-Ogdum,拉格路布·格罗-奥格杜姆,NPC_.FNAM
Lugrub's Axe,拉格路布之斧,WEAP.FNAM
Lukesturm Barrow,卢克斯特姆古冢,CEL
Lukiul,卢基乌,
Luminous Russula,微光红菇,INGR.FNAM|CONT.FNAM
Lumut,路穆特,卡内什岛上的一个城市或地区。
Lunar Lattice,月之栅栏,
Lunia,露尼娅,NPC_.FNAM
Lunia Menanius,露尼娅·梅纳纽斯,NPC_.FNAM
Lurcher,蹒跚者,
Lurius,卢里乌斯,NPC_.FNAM
Lurius Lalelius,卢里乌斯·拉勒留斯,NPC_.FNAM
Lurog,鲁罗格,CEL|NPC_.FNAM
Lurog gro-Khagdum,鲁罗格·格罗-卡格杜姆,NPC_.FNAM
Lurog's Hut,鲁罗格的小屋,CEL
Lusius,卢西乌斯,NPC_.FNAM
Luspinian,鲁斯宾尼亚,NPC_.FNAM
Luspinian Hertarian,鲁斯宾尼亚·赫塔利安,NPC_.FNAM
Lustidrike,酒鬼,CREA.FNAM
Lustidrike Cocktail,酒鬼开胃小菜,SPEL.FNAM
Lute,鲁特琴,MISC.FNAM
Luven,卢文,NPC_.FNAM
Lycanthropy,狼化,
Lync,林克,NPC_.FNAM
Lysandus,利桑杜斯,
M'aiq,麦奎,SPEL.FNAM
M'Aiq the Liar,骗子麦奎,NPC_.FNAM
M'aiq's Water Walking,麦奎的水行术,SPEL.FNAM
M'nashi,姆'纳西,NPC_.FNAM
M'Shan,姆'山,NPC_.FNAM
Ma'Dara,马'达拉,NPC_.FNAM
Ma'Jidarr,玛'吉达尔,NPC_.FNAM
Ma'Khar,玛'卡哈,NPC_.FNAM
Ma'Zahn,玛'扎恩,NPC_.FNAM
Maar Gan,玛尔-甘,CEL|ACTI.FNAM
Maar gan (back road),玛尔-甘（小径）,ACTI.FNAM
Maar gan (main road),玛尔-甘（主道）,ACTI.FNAM
Maar Gan Blessings,玛尔-甘的祝福,SPEL.FNAM
Maar Gan Shrine,玛尔-甘圣祠,SPEL.FNAM
Maba-Ilu,玛巴-伊鲁,CEL
Mababi,玛巴比,CEL
Mabarrabael,马巴拉贝尔,NPC_.FNAM
Mabrelle,马布雷尔,CEL|NPC_.FNAM
Mabrelle Geles,马布雷尔·格勒斯,NPC_.FNAM
Mabrelle Geles's Hut,马布雷尔·格勒斯的小屋,CEL
Mabrigash,玛布瑞伽什,CLAS.FNAM
Mace,钉锤,WEAP.FNAM
Mace of Aevar Stone-Singer,“咏石者”艾瓦之锤,WEAP.FNAM
Mace of Molag Bal,莫拉格·巴尔的钉锤,WEAP.FNAM
Mace of Slurring,含糊之锤,WEAP.FNAM
Macile,马西勒,NPC_.FNAM
Mackamentain,玛卡门坦,位于布拉维尔东北部的一座中型亚历德遗迹
Macrina,马克里那,NPC_.FNAM
Macro,马克罗,NPC_.FNAM
Madach,马达奇,NPC_.FNAM
Madach Room Key,马达奇房间钥匙,MISC.FNAM
Madach Tradehouse,马达奇贸易行,CEL|ACTI.FNAM
Madalas,马达拉斯,NPC_.FNAM
Madalvel,马达维尔,NPC_.FNAM
Madas Grotto,玛达斯石窟,CEL
Madas-Zebba Egg Mine,玛达斯-泽巴卵矿场,CEL
Madaynu,马达努,NPC_.FNAM
Madaynu Aravel,马达努·阿拉维尔,NPC_.FNAM
Madrale,马德拉莱,NPC_.FNAM
Madrale Thirith,马德拉莱·蒂里斯,NPC_.FNAM
Madran,马德兰,CEL|NPC_.FNAM
Madran Ulvel,马德兰·乌维尔,NPC_.FNAM
Madran Ulvel's House,马德兰·乌维尔的房子,CEL
Madres,马德雷斯,CEL|NPC_.FNAM
Madres Navur,马德雷斯·纳武尔,NPC_.FNAM
Madres Navur's House,马德雷斯·纳武尔的房子,CEL
Madryon,玛德里昂,NPC_.FNAM
Madstone of the Ahemmusa,阿希穆萨的疯狂之石,CLOT.FNAM
Madsu,马德苏,NPC_.FNAM
Madsu Dreth,马德苏·德雷思,NPC_.FNAM
Madura,玛杜拉,NPC_.FNAM
Madura Seran,玛杜拉·瑟然,NPC_.FNAM
Maela,玛依拉,CEL|NPC_.FNAM
Maela Kaushad,玛依拉·考沙德,NPC_.FNAM
Maela Kaushad's Farmhouse,玛依拉·考沙德的农舍,CEL
Maeli,玛艾丽,CEL|NPC_.FNAM
Maeli's Yurt,玛艾丽的帐篷,CEL
Maelkashishi,梅尔卡诗诗,CEL
Maelu Egg Mine,马鲁卵矿场,CEL
Maeonius,梅奥尼乌斯,NPC_.FNAM
Maeonius Man-llu,梅奥尼乌斯·曼-鲁,NPC_.FNAM
Maeonius Yentimilal,梅奥尼乌斯·耶恩蒂米拉尔,NPC_.FNAM
Maering,马林,NPC_.FNAM
Maesa,玛伊沙,NPC_.FNAM
Maesa Gabinia,玛伊沙·加比尼亚,NPC_.FNAM
Maesa-Shammus Egg Mine,马萨-沙默斯卵矿场,CEL
Maesat,玛伊沙特,CEL|NPC_.FNAM
Maesat Shinirbael,玛伊沙特·辛尼巴尔,NPC_.FNAM
Maesat's Yurt,玛伊沙特的帐篷,CEL
Maessabibi,梅萨比比,NPC_.FNAM
Mafala,玛法拉,
Mafre,霜,亚历德语。
Magas Volar,马格斯-沃拉尔,CEL
Mage,法师,CLAS.FNAM|GMST.STRV
Mage Ring,法师之戒,CLOT.FNAM
Magebane,法师灾星,WEAP.FNAM
Mages Guild,法师公会,FACT.FNAM
Mages Guild Charter,《法师公会章程》,BOOK.FNAM
Mages' Guild,法师公会,ACTI.FNAM
Mages' Guild Caldera,卡尔德拉法师公会,ACTI.FNAM
Mages' Guild Supply Chest,法师公会补给箱,CONT.FNAM
Magia,玛吉亚,NPC_.FNAM
Magic,魔法,GMST.STRV
Magic Effects,魔法效果,GMST.STRV
Magic Items,魔法物品,GMST.STRV
Magic Menu Item,魔法菜单项目,GMST.STRV
Magic Rock of Maar Gan,玛尔-甘的魔法之石,ACTI.FNAM
Magic Shop,魔法商店,CEL
Magician,魔能师,FACT.RNAM
Magicka,魔力,GMST.STRV
Magicka Bonus,魔力天赋,SPEL.FNAM
Magicka Leech,魔力吸取,SPEL.FNAM
Magickguard,魔法守护,SPEL.FNAM
Magickguard Robe,魔法守护长袍,CLOT.FNAM
Magister,导师,FACT.RNAM
Magius,马基乌斯,NPC_.FNAM
Magna-Ge,玛格纳-吉,背弃创世跟随玛格努斯逃走的原灵。
Magnar,玛格纳尔,阿特莫拉-诺德认知中的马格努斯。
Magnitude,量级,GMST.STRV
Magnus,玛格努斯,魔法之神
Magrus,玛格鲁斯,卡吉特神话中对应玛格努斯的神。
Main Pantheon,主要神系,
Major Skills,主修技能,GMST.STRV
Make an Enchanted Item,制作附魔物品,GMST.STRV
Mal,马尔,CEL|NPC_.FNAM
Mal Mibishanit,马尔·米比沙尼特,NPC_.FNAM
Mal's Yurt,马尔的帐篷,CEL
Malabal Tor,玛拉巴尔·托,瓦伦伍德地名，希尔维纳文化起源地，意为“高石山”。
Malacath,马拉卡斯,迪德拉大君，大部分兽人的神祇。
Malacath Statue Talker,马拉卡斯雕像谈话者,ACTI.FNAM
Malacath's Shrine,马拉卡斯祭坛,
Malada,马拉达,亚历德语，意为“高神殿”，一座中型的亚历德遗迹，位于布拉维尔东部。
Malada Aldmerisel,马拉达-奥德莫瑞塞尔,
Malak,马拉克,*详见Malacath词条。丹莫口中的马拉卡斯。
Malan,马兰,CREA.FNAM
Malar,玛拉尔,CONT.FNAM
Malar's Stuff,玛拉尔的物品,CONT.FNAM
Malas,马拉斯,NPC_.FNAM
Malatu,真相,亚历德语。
Malauch,马劳克,*详见Malacath词条。兽人口中的马拉卡斯。
Malaurig,马劳里格,黄金圣徒排名第二的阶位。
Malay,马莱,NPC_.FNAM
Malay Ranarbatus,马莱·拉那巴图斯,NPC_.FNAM
Malexa,玛蕾克莎,NPC_.FNAM
Maliache,马利亚切,*详见Chimer词条。
Malielle,玛莱勒,NPC_.FNAM
Malielle Broles,玛莱勒·布罗勒斯,NPC_.FNAM
Maliiran,马利兰,NPC_.FNAM
Maline,玛琳,NPC_.FNAM
Maline Masolaude,玛琳·玛索劳德,NPC_.FNAM
Malipu-Ataman,玛利普-阿塔曼,CLOT.FNAM
Malipu-Ataman's Belt,玛利普-阿塔曼的腰带,CLOT.FNAM
Mallam,马拉姆,NPC_.FNAM
Mallam Ryon,马拉姆·里昂,NPC_.FNAM
Mallapi,玛拉皮,CEL
Mallari,金子,亚历德语。
Malman-Ammu,马尔曼-阿姆,NPC_.FNAM
Malmus Grotto,马尔姆斯石窟,CEL
Malooc,马戮克,*详见Malacath词条。红卫人和巨型哥布林认知中的背叛之神，可能和马拉卡斯有关。
Maloren,马洛伦,NPC_.FNAM
Malpenix,马尔佩尼克斯,MISC.FNAM|NPC_.FNAM
Malpenix Blonia,马尔佩尼克斯·布洛尼亚,NPC_.FNAM
Malpenix Blonia's Key,马尔佩尼克斯·布洛尼亚的钥匙,MISC.FNAM
Malpenix Blonia: Trader,马尔佩尼克斯·布洛尼亚：贸易商,CEL
Mals,马尔斯,NPC_.FNAM
Mals Faralen,马尔斯·法拉伦,NPC_.FNAM
Malsa,马尔萨,NPC_.FNAM
Malsa Ules,马尔萨·乌莱斯,NPC_.FNAM
Malvayn,马尔文,NPC_.FNAM
Malven,马尔文,NPC_.FNAM
Malven Romori,马尔文·罗莫里,NPC_.FNAM
Mamaea,玛梅亚,CEL|NPC_.FNAM
Mamaea Ashun-Idantus,玛梅亚·阿孙-伊丹图斯,NPC_.FNAM
Mamaea Ularshanentus,玛梅亚·乌拉尔沙尼图斯,NPC_.FNAM
Mamaea's Yurt,玛梅亚的帐篷,CEL
Mamshar-Disamus Camp,曼莎-蒂萨穆丝营地,CEL
Mamusa,玛穆萨,NPC_.FNAM
Mamusa Shashmassamsi,玛穆萨·沙什马萨姆西,NPC_.FNAM
Man-Ilu,曼-鲁,NPC_.FNAM
Man-Ilu Ashananapal,曼-鲁·阿沙纳帕,NPC_.FNAM
Man-llu,曼-鲁,NPC_.FNAM
Man-llu Hut,曼-鲁小屋,CEL
Mana Bloom,魔能花,一种稀有植物，有蓝紫色和紫红色两种，分别产出不同的产物Lichor蜜琼和Ambrosia仙馐果。
Manabi,马纳比,NPC_.FNAM
Manabi Kummimmidan,马纳比·库米米丹,NPC_.FNAM
Manabi Virith,马纳比·维瑞斯,NPC_.FNAM
Mananaut,魔航员,
Manara,玛娜拉,NPC_.FNAM
Manara Othan,玛娜拉·奥森,NPC_.FNAM
Manas,马纳斯,CEL|NPC_.FNAM
Manat,马纳特,CEL|NPC_.FNAM
Manat Shimmabadas,马纳特·希马巴达斯,NPC_.FNAM
Manat Varnan-Adda,马纳特·瓦尔南-阿达,NPC_.FNAM
Manat's Farmhouse,马纳特的农舍,CEL
Manat's Yurt,马纳特的帐篷,CEL
Mandas,曼达斯,NPC_.FNAM
Mandas Family Locket,曼达斯家族盒坠,CLOT.FNAM
Mandran,曼德兰,NPC_.FNAM
Mandran Indrano,曼德兰·因德拉诺,NPC_.FNAM
Mandur,曼杜尔,NPC_.FNAM
Mandur Omalen,曼杜尔·奥马伦,NPC_.FNAM
Mandyn,曼丁,CEL|NPC_.FNAM
Mandyn Ralas,曼丁·拉拉斯,NPC_.FNAM
Mandyn Ralas's Farmhouse,曼丁·拉拉斯的农舍,CEL
Mane,鬃首,卡吉特的亚种，全世界同时只能有一个鬃首。生于玛瑟尔与塞昆达联星之时，此时也被称为“暗月”（Dark Moon）或“暗之月食”（Dark Eclipse）。
Manel,曼内尔,NPC_.FNAM
Manel Amori,曼内尔·阿莫里,NPC_.FNAM
Maner,曼纳,NPC_.FNAM
Maner Uvaren,曼纳·乌瓦伦,NPC_.FNAM
Mania,狂躁,通常指战栗群岛上色彩鲜艳的区域，代表谢尔格拉斯分裂精神的一部分。
Manicky,曼尼基,NPC_.FNAM
Manilian,马尼利安,NPC_.FNAM
Manilian Scerius,马尼利安·斯塞里乌斯,NPC_.FNAM
Manirai,玛尼莱,NPC_.FNAM
Manirai Mirshamammu,玛尼莱·米尔沙玛姆,NPC_.FNAM
Manis,玛尼斯,NPC_.FNAM
Manis Virmaulese,玛尼斯·维尔玛雷瑟,NPC_.FNAM
Mannammu,曼纳姆,CEL
Mannanalit,马那纳利特,NPC_.FNAM
Mannick,曼尼克,NPC_.FNAM
Mannimarco,曼尼马克,强大的亡灵法师，极大促进了亡灵法术的发展，被称为“蛆虫之神（God of Worms）”或“蛆虫之王（King of Worms）”。自称为奥德莫巫妖，最后登神。
Mano,马诺,NPC_.FNAM
Manolos,马诺洛斯,NPC_.FNAM
Manolos Virith,马诺洛斯·维瑞斯,NPC_.FNAM
Manor District,府邸区,CEL
Manor Key,种植园钥匙,MISC.FNAM
Manor Services,府邸服务区,CEL
Manos,马诺斯,CEL|NPC_.FNAM
Manos Othreleth,马诺斯·奥特雷莱斯,NPC_.FNAM
Manos Vavyn,马诺斯·瓦文,NPC_.FNAM
Manos Vavyn's House,马诺斯·瓦文的房子,CEL
Manse,曼斯,NPC_.FNAM
Manse Andus,曼斯·安杜斯,NPC_.FNAM
Mansilamat,曼斯拉玛特,CREA.FNAM|NPC_.FNAM
Mansilamat Vabdas,曼斯拉玛特·瓦布达斯,CREA.FNAM|NPC_.FNAM
Mantashpi,曼塔什皮,NPC_.FNAM
Mantedius,曼泰迪乌斯,NPC_.FNAM
Mantella,曼特拉,一块巨大的绿色宝石，蕴含着冥王祖林的生命力。曼特拉曾两次被用于充能努米迪文。
Mantiti,曼提缇,NPC_.FNAM
Mantiti Cave Dwelling,曼提缇的穴屋,CEL
Mantle,1.披甲|2.王位,成神路径之一，作名词时为王位。
Mantle of Woe,悲痛外衣,CLOT.FNAM
Manu,马努,NPC_.FNAM
Manu Odirnapal,马努·奥迪纳帕尔,NPC_.FNAM
Manu Zainab,马努·哉纳布,NPC_.FNAM
Manwe,曼威,NPC_.FNAM
Maormer,锚莫,又名海精灵，居住在派安多尼亚。艾尔诺菲语中意为“热带居民”。-mer是非人类语境下的称呼，翻译时不能直接翻译为海精灵，要遵循原文翻译为锚莫。
Map of Red Mountain,《红山地图》,BOOK.FNAM
Mara,玛拉,CLOT.FNAM|SPEL.FNAM
Mara's Blouse,玛拉之衫,CLOT.FNAM
Mara's Gift,玛拉之馈,SPEL.FNAM
Mara's Skirt,玛拉之裙,CLOT.FNAM
Maraennius,马伦纽斯,NPC_.FNAM
Maralie,玛拉莱,NPC_.FNAM
Maralie Ares,玛拉莱·阿瑞斯,NPC_.FNAM
Maran Amulet,玛冉护符,CLOT.FNAM
Maran-Adon,玛冉-亚顿,CEL
Marandus,玛冉德斯,CEL
Marandus Propylon,玛冉德斯引路器,ACTI.FNAM
Marandus Propylon Index,玛冉德斯引路石,MISC.FNAM
Maranique,玛拉尼克,NPC_.FNAM
Maranique Jolvanne,玛拉尼克·乔凡尼,NPC_.FNAM
Marara,马拉拉,CLOT.FNAM|NPC_.FNAM
Marara's Ring,马拉拉的戒指,CLOT.FNAM
Marasa,马拉萨,NPC_.FNAM
Marasa Aren,马拉萨·艾伦,NPC_.FNAM
Marayn,马兰,NPC_.FNAM
Marayn Dren,马兰·德伦,NPC_.FNAM
Marcel,马塞尔,NPC_.FNAM
Marcel Maurard,马塞尔·莫拉德,NPC_.FNAM
Marelle,马雷尔,NPC_.FNAM
Maren,马伦,NPC_.FNAM|CEL
Maren Ancestral Tomb,马伦先祖墓穴,CEL
Maren House Key,马伦房子的钥匙,MISC.FNAM
Maren Uvaren,马伦·乌瓦伦,NPC_.FNAM
Maren Uvaren: Enchanter,马伦·乌瓦伦：附魔师,CEL
Marena,玛丽娜,NPC_.FNAM
Marena Gilnith,玛丽娜·吉尔尼斯,NPC_.FNAM
Margonet,玛格尼特,NPC_.FNAM
Maria,玛丽亚,NPC_.FNAM
Marielle,玛丽埃尔,NPC_.FNAM
Marielle Amedee,玛丽埃尔·阿梅迪,NPC_.FNAM
Marilia,玛丽亚,NPC_.FNAM
Marilia Saram,玛丽亚·萨拉姆,NPC_.FNAM
Marius,马里乌斯,NPC_.FNAM
Mark,标记|马克,CEL|GMST.STRV|SPEL.FNAM
Mark Ring,标记之戒,CLOT.FNAM
Mark's Script Testing Cell,马克的剧本测试间,CEL
Mark's Vampire Test Cell,马克的吸血鬼测试间,CEL
Markarth,马卡斯,准意：卡斯之上。
Marksman,射术,GMST.STRV
Markynaz,魔人领士,
Marlena Brussiner's House,玛蕾娜·布鲁西尼尔的房子,
Maro,马洛,NPC_.FNAM
Maros,马罗斯,NPC_.FNAM
Maros Gimayn,马罗斯·吉梅恩,NPC_.FNAM
Marowak,嘎啦,CEL
Marowak's Spine,嘎啦之脊,CEL
Marquardt,马夸特,NPC_.FNAM
Marquis,边境卫戍长官,
Marshal,统帅,FACT.RNAM
Marshmerrow,沼泽糖蔗,CONT.FNAM|INGR.FNAM
Marsus,马苏斯,INGR.FNAM|NPC_.FNAM
Marsus Tullius,马苏斯·图留斯,NPC_.FNAM
Marsus' Guar Hide,马苏斯的瓜尔皮,INGR.FNAM
Marthe,玛特,NPC_.FNAM
Marthe Arthe,玛特·阿尔特,NPC_.FNAM
Maruhkati Selectives,马鲁卡提受选者,白猿马鲁克创立的阿兰西亚教团的一个极端革新的教派，意欲利用龙破撕裂精灵对于阿卡托什的影响。
